Baseline,K=1,K=5,K=10
0.012278936650764,0.012259336147042,0.013018230911414,0.012245448466969
0.012427928992329,0.01240510948481,0.013248200879613,0.012389324653786
0.012527500265854,0.012501006388444,0.013438523248826,0.012483072620049
0.01256817914552,0.012537463745503,0.013581676818777,0.012517079928394
0.012583612269371,0.012548123392261,0.013710097322168,0.012525000679295
0.012576787574827,0.01253590948687,0.013827251111865,0.012509731670133
0.01254447002033,0.012497496523735,0.013930885318031,0.012467904420692
0.012496106739542,0.012442276672463,0.014030260092395,0.012408893129853
0.012554145938357,0.01249318711609,0.014234204535332,0.012455953856157
0.012676789628684,0.012608332092955,0.014503318311976,0.012567132178703
0.012796583623522,0.012719935819289,0.01477786908169,0.012674453560205
0.012891994547825,0.012806294918819,0.015040143941979,0.012756112654293
0.012972726079278,0.012877102331155,0.015299739495738,0.012821802429791
0.013038526966659,0.012932029122225,0.015557349181598,0.01287115854753
0.013085079446521,0.012966631234882,0.015810102808482,0.012899677118194
0.013118768162103,0.01298724351788,0.016063970524129,0.012913680079055
0.013130784742721,0.012984855646854,0.016312217241069,0.012904058885044
0.013121299829177,0.012959491069652,0.016555604553806,0.012870773524845
0.013093560771631,0.012914272052347,0.01679727212876,0.012816897277264
0.013047822506916,0.012849280683592,0.0170378532433,0.012742438151326
0.012985300665414,0.012765554249792,0.017278664307409,0.012648358525507
0.012906682006836,0.012663574413095,0.017520537851098,0.012535052283833
0.012817714248036,0.012548966332404,0.017767949921111,0.012408102988969
0.01271687247098,0.012419936861506,0.018019853494481,0.012265597424403
0.01259214559773,0.012263890640863,0.01826800373972,0.012094650801151
0.012440368228063,0.012077150165923,0.01851095119388,0.011891337783691
0.012292938109212,0.011891618932583,0.018770302746234,0.011687860906106
0.012145067185906,0.011702089216394,0.019042083672923,0.011478814042123
0.011987369926993,0.011498463659974,0.019319818418786,0.011253741109759
0.011823070777125,0.011283626128465,0.019605444691079,0.011015359343913
0.011648283395968,0.011052980233463,0.019896450881056,0.010758700501414
0.011468421309444,0.010811604404081,0.020195948123697,0.010488661487776
0.011289693105273,0.010565483002259,0.020507073186967,0.010211092465842
0.011113348587161,0.01031538373434,0.020829843393694,0.009926470856243
0.010934559261112,0.010055456850493,0.02116102707554,0.0096283323698
0.010758156637278,0.009790163957964,0.021502679117397,0.009320840836283
0.010767576494294,0.009721904343427,0.021945947919477,0.009217037656635
0.010840881031801,0.009719454479518,0.022425100073991,0.009180603132317
0.01041318712223,0.00914717116938,0.022667339333119,0.00853476642082
0.009407429514125,0.007871681544231,0.022674086284066,0.007104445685637
0.009220310168391,0.007520976363778,0.023062849071366,0.006661006503484
0.009337696741587,0.007529866767137,0.023577869419687,0.006615129246988
0.009130545480394,0.007122208591732,0.023958616387263,0.006084307307148
0.008368882160145,0.005931027669515,0.024133376286293,0.004548285538913
0.008096250903996,0.005321600854754,0.024502113182009,0.003605995276177
0.008124486519583,0.005123515053586,0.024974404078878,0.003172684247661
0.008195207149802,0.004972992418939,0.02545304289074,0.002764548588943
0.008300945971721,0.00486297961609,0.025934691754324,0.002370797137908
0.008420690679229,0.004761677442929,0.02641187366451,0.001915730857405
0.008571614888633,0.004701454462397,0.026891164743208,0.001444642317052
0.008754704881052,0.004688333934498,0.027373282967116,0.000955210243801
0.008972425573298,0.004730466930378,0.027859709283869,0.000467180978845
0.009222408002018,0.004826106212301,0.028350015008183,2.89E-05
0.009503071078221,0.004973396959137,0.028844386299397,0.000520636819914
0.009812912740539,0.005169706970456,0.029342789847044,0.001023102954697
0.010149359862259,0.005409334014155,0.029845245487027,0.001523979298659
0.010510369227357,0.005687311218826,0.03035169836242,0.002025631132287
0.010892469422609,0.005995940049679,0.03086164673161,0.002521717574101
0.011294337207199,0.006331805028277,0.031375141234011,0.003017067016871
0.011712783204983,0.006688338701334,0.03189164737743,0.003507108472939
0.012046381539295,0.006886410340394,0.032377897255445,0.003671859062069
0.012347663322072,0.007020989276373,0.032850758912982,0.003713628796534
0.012866680507841,0.007533591814685,0.033397468004031,0.004433841696675
0.013671802475244,0.008506316351758,0.034053219933685,0.005800047424208
0.014271725385999,0.009113519217847,0.034640352988241,0.006530198273561
0.014751118952311,0.009519803619795,0.03518038369494,0.006960926715868
0.015235427360492,0.009927171766593,0.035718808285183,0.007386581601532
0.015725464639333,0.010337104646321,0.036256002776659,0.007810000888612
0.016083342891125,0.010538578426341,0.036735458757872,0.007953469663616
0.016395903287468,0.010664884270532,0.037192923744718,0.007995261153594
0.016902957093304,0.011087445327614,0.037731191454051,0.008429570857175
0.017612355893895,0.011811604230252,0.038359844927573,0.009248589026605
0.018334510727563,0.012541867029989,0.039000253383485,0.010057569140421
0.019059573708407,0.013264771754326,0.039646129032458,0.010843530151016
0.019634484651167,0.013761991479072,0.040223325631304,0.011345221941238
0.020145571210913,0.014162622780053,0.040767687419662,0.011727023338287
0.020765420525183,0.014714267513777,0.041360773732239,0.012288881437562
0.021426639469058,0.015318965004847,0.041971848134483,0.012910370656995
0.02185013491235,0.015583454691606,0.042461525427308,0.013124799985868
0.022178548322148,0.015708570261196,0.042897105483611,0.013172060953903
0.02300709491222,0.016537489239191,0.043579859384328,0.014054787715336
0.024402800221264,0.01813379798023,0.044563624227936,0.015816914982155
0.02532132492571,0.019056933323422,0.045303502090138,0.016783482752727
0.026003401767655,0.019656534187965,0.045908958599229,0.017377860861946
0.026687313779561,0.020253737098928,0.046504388521153,0.017967927965724
0.02736910232524,0.020843501392125,0.047087929441858,0.018548091715323
0.02779796213572,0.021094238618868,0.047517729086237,0.018745393318637
0.028130334040088,0.021211769222283,0.047882609942454,0.018791250454146
0.029150791713568,0.022241174885821,0.048639659210129,0.019864189677459
0.03088731889467,0.024190100481295,0.049832338262294,0.021950589692714
0.032016979608767,0.025334127889894,0.050670780075884,0.023132342163718
0.032866782239227,0.026115316997865,0.051329292080485,0.023912866273052
0.033685605745447,0.026852476409425,0.051954605918189,0.02464391618963
0.034483305788239,0.027558707440356,0.052552788055953,0.025340116335534
0.0352943250615,0.028278098971915,0.053147788659681,0.026049681179532
0.036099254620904,0.028986545543695,0.053729062486406,0.026746411360829
0.036573540145412,0.029276804409297,0.054081843982901,0.026988357729138
0.036910696948327,0.029389998590293,0.054332675275232,0.027036870691408
0.037662091225487,0.0300233235368,0.054854151965427,0.027650674435786
0.038817051377758,0.031162330634053,0.055651063185822,0.028812372734438
0.039957043336925,0.032277083569756,0.056444530032172,0.029944741691968
0.041067548338702,0.033350465898783,0.057221764215369,0.031030025565866
0.041640145875084,0.033753010734563,0.057615648712685,0.031391784795092
0.04198494756361,0.03386855242339,0.057838055543308,0.03144357839977
0.042874617210493,0.034660732921799,0.058444982853866,0.032224332225896
0.044332412502704,0.036154805848943,0.059468807757779,0.033758303227496
0.045237516642524,0.036960297668179,0.060091454972862,0.034550734008719
0.045903514730392,0.037468997963886,0.060533145672802,0.035024634979863
0.04656597663088,0.037971040272358,0.060966341916496,0.035490974012154
0.047226137306811,0.038467886718229,0.061392300488191,0.035951277382068
0.047664493011415,0.038687230128759,0.061643778168413,0.036113431683655
0.048020663024386,0.038800250032013,0.061826409475295,0.036160363926482
0.04867542754597,0.039282288381742,0.062235351044448,0.036603006533151
0.049620675907782,0.040124989813238,0.062870912044703,0.037432663407725
0.050558242269834,0.040956104956418,0.063504263848878,0.038249062064338
0.051478869583097,0.041764339030043,0.06412672218926,0.039040237835304
0.051999519946039,0.042072935303707,0.064429347170044,0.039295264378779
0.052369656802024,0.042190099147979,0.064606231964958,0.039343967456147
0.053310373279532,0.043018218595594,0.065239575583491,0.040155434964705
0.054974624446681,0.044744515586394,0.066467497292514,0.041927928654348
0.055744146944572,0.045356360007244,0.066966038405479,0.042506371146819
0.056127129140948,0.04548639716847,0.06713749508108,0.042569238908834
0.05698525098221,0.04620425811597,0.067694770968259,0.043260568732459
0.058316970249325,0.047507919521683,0.068647000002124,0.044577454530837
0.059244763263219,0.048308648611671,0.069257936251647,0.045356260720422
0.059981734746341,0.048871892555281,0.069700330643081,0.045881440967738
0.060462149562648,0.049114458145219,0.069912986083385,0.046063860107369
