Baseline,K=1,K=5,K=10
0.008690035685893,0.017259397567339,0.017224533643741,0.017230201291648
0.008699848621088,0.017265019989174,0.017226869607917,0.017233065742519
0.009082976537677,0.018020759922213,0.017980195497085,0.017986807302917
0.009558195165823,0.018961256030006,0.018918435125632,0.018925446335857
0.009823041371894,0.019477765474669,0.019431958098482,0.019439475565732
0.01002627465622,0.019869365496498,0.019820216804617,0.019828297730145
0.010495582140361,0.020795588366936,0.020743858656356,0.020752379627813
0.010967375336872,0.021725894614536,0.021671426077049,0.021680414939871
0.011395626990589,0.022567177179183,0.022509566122681,0.022519091539231
0.01177885466639,0.023316216177545,0.023255027041562,0.023265163194775
0.01220962813798,0.024159224472249,0.024094333519594,0.024105102718442
0.012601666447919,0.024922441316346,0.024853431296678,0.02486490497972
0.013003805997377,0.025704235828986,0.025630881629497,0.025643099676084
0.0133704038905,0.026412563192419,0.026334466606072,0.02634749774306
0.013408361143418,0.026455601145654,0.026371166244373,0.02638526033043
0.01343134160948,0.026465878051743,0.026374664160103,0.026389897260034
0.014031710140805,0.027641747607809,0.027546207510738,0.027562210326816
0.014784388955232,0.029124267657113,0.02902491212382,0.029041613426641
0.015108139995984,0.02973738498868,0.029631917259466,0.02964968039874
0.01539739689398,0.030278269426042,0.030166165943336,0.030185083933103
0.015672332936193,0.030788047401582,0.030668961603208,0.030689097853175
0.015931244759201,0.031263213918533,0.03113678143969,0.031158203203421
0.015979803540277,0.031309203132884,0.031173942666628,0.031196884918123
0.016013933528421,0.031323008283198,0.031178428262511,0.031202979467088
0.016398532125497,0.032047503154876,0.03189553761893,0.031921420220717
0.016861352146226,0.032929752363392,0.032770721349909,0.032797899307796
0.017068423225968,0.033289137103436,0.033121038440152,0.033149830219032
0.017260036627593,0.033614465925908,0.033436828605576,0.033467323292538
0.017687476041598,0.034418552115207,0.034232996632165,0.034264922676116
0.018090000448113,0.035169372964775,0.034975373981386,0.035008829734293
0.018167829755336,0.035252766418497,0.035047129511781,0.035082649615953
0.018215994297938,0.035270982008554,0.035052835905039,0.035090579456789
0.01894100162016,0.036673402275884,0.036448643619669,0.036487646533494
0.019809469712434,0.038366903540711,0.038136430997462,0.038176556122659
0.020225342762732,0.039128139740162,0.038887230155027,0.038929274733652
0.020590239303581,0.039779682025483,0.039527212952625,0.039571382606089
0.020665887035299,0.039832431349248,0.039565104994486,0.039611958629384
0.020728836938025,0.039853549478342,0.039570572558037,0.03962026002557
0.021620193096121,0.04157817236991,0.041287980320123,0.041339111678826
0.021986400284737,0.042217287081587,0.04191395318974,0.041967532613325
0.022318958412002,0.042781895057807,0.042464438669341,0.042520653984336
0.022633863433651,0.043305738509645,0.042973488279395,0.043032472715299
0.022721586322258,0.043354225131033,0.04300395990991,0.043066267569935
0.022800486191401,0.043378617141362,0.04300952881428,0.04307532033468
0.023193564835412,0.044051852841571,0.043667608956489,0.043736286401893
0.023662585740394,0.04487972789147,0.044480983511073,0.04455245769985
0.024104759812954,0.045647141413163,0.045232988994135,0.045307440498013
0.024518189379102,0.046349325034705,0.045918744518665,0.045996375270307
0.024957158605518,0.047098739770976,0.046651585305838,0.046732417144385
0.025366613281237,0.047780370303633,0.04731553613775,0.047399788266628
0.025491211117277,0.047857584841367,0.047369803504329,0.047458421040693
0.025597626768181,0.04788842672272,0.047376459640947,0.047469690689459
0.026231102472173,0.049024340770056,0.048496788966245,0.048593144218866
0.026989469405803,0.050418952658991,0.049877521686452,0.049976723676777
0.027393524831793,0.051058257364182,0.050496023150524,0.050599298528737
0.027761664487488,0.051613420184352,0.051028854500851,0.05113650828775
0.028119334266717,0.052138151450467,0.051530669747968,0.051642755829301
0.028461790298091,0.05262351271704,0.051992123871444,0.052108850260026
0.028805530749736,0.053102504792261,0.052447076156069,0.052568358245443
0.029137658598251,0.053549738943786,0.052869345136157,0.052995379078512
0.029457065096249,0.053959874178605,0.053254280622053,0.053384946222979
0.029766083435431,0.054341071616576,0.053609250505942,0.053744787666325
0.030069094910368,0.054693398645151,0.053936768945749,0.054076352722984
0.030364242055627,0.055022285306638,0.054239827862156,0.054383702123527
0.030652553136184,0.055330704143787,0.05452124766527,0.054669730648526
0.03093391889127,0.055618542716946,0.05478082906546,0.054934271841427
0.031206020185561,0.055869159678547,0.055004696156804,0.055162183586737
0.031472168977389,0.056102198230097,0.055209449704167,0.055371450693893
0.031867503837506,0.056599851332439,0.055684864002674,0.055849496075357
0.03224931847318,0.057064473259731,0.056125276390435,0.056293154668128
0.032451823900085,0.057141121277666,0.056167057880585,0.056341275369788
0.032642171807088,0.057186016957342,0.056174189646342,0.056355679782425
0.033115758609147,0.057792330951908,0.056766145975777,0.056946617927866
0.033654381501207,0.058525441732963,0.05748944851943,0.057667281772455
0.034170847939651,0.059208240366095,0.058159229406208,0.058335485849675
0.034663170564779,0.059836092752456,0.05877043587033,0.058946324137292
0.035049180134792,0.060202923742708,0.059118986413124,0.059293952230811
0.035416287096846,0.060525761805814,0.059419735215959,0.059595073940828
0.03565464108157,0.060593156643433,0.059448203655584,0.059630064703767
0.035884983058193,0.060643931651961,0.059455644857407,0.059645697913179
0.036276439656572,0.060934657044603,0.059737258275307,0.059921226633468
0.036713666927399,0.061291894032035,0.060094133781652,0.060268274930612
0.037139611312845,0.061628620355901,0.06042629754814,0.060592205170888
0.037553129444617,0.061943367439557,0.060731783166086,0.060891259851992
0.037821288654604,0.062014113401049,0.060761645590988,0.06092734423452
0.0380778394248,0.062068596978994,0.060768704926943,0.060943258707169
0.038569042755565,0.062431205152256,0.061149817674218,0.061305212572759
0.039105804008393,0.062850386700811,0.061599615337005,0.061730544154249
0.039601967130904,0.063220041692578,0.061984071380047,0.062097105967184
0.040077214965163,0.063554373687662,0.062325761697502,0.062423797752462
0.04053465934757,0.063861552306958,0.062632823777818,0.06271883745901
0.040973710175101,0.064141841714506,0.062904866850495,0.062982130802089
0.041283381995408,0.064215042942622,0.062934983068972,0.063017631451847
0.041578280776729,0.064274312163919,0.06294135218251,0.063033505088896
0.042093297235158,0.06452705962589,0.063231190776182,0.063293236728411
0.04265757327795,0.064825236037602,0.063585101268139,0.063608693035571
0.043204859648675,0.065108119914916,0.063914574566882,0.063903507457802
0.043733531571152,0.06537356995868,0.064216637785394,0.064175064983974
0.044207002434194,0.065515712259893,0.06438680937391,0.064317413799714
0.044663741107696,0.065647858841378,0.064536002457793,0.064443436575557
0.045131746256445,0.065741007658171,0.064660757651185,0.064537820821414
0.04558450267746,0.065833473058136,0.064772864056296,0.064624745981721
0.045930791919098,0.0658982738035,0.064790765592448,0.064647359415408
0.046258894339232,0.065965781205914,0.064795650663644,0.0646639968725
0.046773514329388,0.065898439166378,0.064821484774839,0.06462880794141
0.047328613592893,0.065805408690821,0.064854875421928,0.064585354024764
0.047680409819349,0.065871776214548,0.064868308027369,0.06460532329535
0.048013426390029,0.06594650819994,0.064872573634498,0.06462411058128
0.04858467576796,0.065933690248332,0.064974423607095,0.064654353918368
0.049208023963401,0.065901559890217,0.065098116119117,0.064686984862661
