Baseline,transformer,mobilevit,lstm,gru
0.000149127699996,0.000149133427839,0.000149134200801,0.000114719606681,7.4568520234E-05
0.000155111177025,0.000155118432269,0.000155119451517,0.000119323989937,7.75617008105E-05
0.00015777723954,0.000157784793958,0.000157785853113,0.000121375110785,7.8894955697E-05
0.000160314446631,0.000160322294055,0.000160323392,0.000123327105069,8.0163776979E-05
0.000162844245158,0.000162852392123,0.00016285352937,0.000125273406128,8.142889719E-05
0.000164704851298,0.000164713006784,0.000164714133079,0.000126704608478,8.2359128906E-05
0.000164172744485,0.000164179755072,0.000164180672333,0.000126293938375,8.2091855468E-05
0.000163782983787,0.000163788735326,0.00016378942158,0.000125992629926,8.1895634863E-05
0.000168510857232,0.000168517832336,0.000168518710329,0.000129630801187,8.4260682159E-05
0.000173315616809,0.000173323877845,0.00017332495787,0.000133328183888,8.66642277425E-05
0.000177967618438,0.000177977189621,0.000177978476648,0.000136908088985,8.8991419011E-05
0.00018141434083,0.000181424685976,0.000181426088374,0.000139560242947,9.07154411025E-05
0.000180945120469,0.000180954153044,0.000180955311004,0.000139197743805,9.0479428611E-05
0.000180565654117,0.000180573260075,0.00018057415186,0.000138904151934,9.02881748605E-05
0.000187195737087,0.000187205921836,0.000187207236824,0.000144007099663,9.36056395695E-05
0.000193008188033,0.000193020521751,0.000193022185816,0.000148480605351,9.65138585575E-05
0.00019547910192,0.000195491780965,0.000195493483603,0.000150381637565,9.77495363485E-05
0.000197844255614,0.00019785727994,0.000197859021385,0.000152201316672,9.8932335783E-05
0.000200325390748,0.000200338843567,0.000200340637465,0.000154110305206,0.000100173203879
0.000202799281699,0.000202813171889,0.000202815019012,0.000156013729201,0.000101410454611
0.00020526066203,0.000205274997737,0.000205276898772,0.000157907536839,0.000102641454273
0.000207045242324,0.000207059597664,0.000207061477882,0.000159280239973,0.000103533631407
0.000206528772126,0.000206541567203,0.000206543150892,0.000158881095364,0.000103273726139
0.000206222289882,0.000206233473701,0.000206234749325,0.000158643415647,0.00010311875482
0.000212628901392,0.000212643130176,0.000212644904025,0.000163574965663,0.000106324883855
0.000217598921813,0.000217615230766,0.000217617334801,0.00016740034068,0.000108811765389
0.000217197771445,0.000217212439987,0.000217214228699,0.000167089801651,0.00010860942455
0.000216903625311,0.000216916599682,0.000216918062345,0.000166861509896,0.000108460529856
0.000223200238099,0.000223216432282,0.000223218420675,0.000171708632299,0.000111611805938
0.000228671970515,0.000228690807452,0.000228693220755,0.000175920569804,0.0001143500714
0.000231060953701,0.000231080261257,0.000231082723716,0.000177758689768,0.000115544850542
0.000232756365481,0.000232775680708,0.000232778112372,0.000179062767338,0.000116392395806
0.000232243171935,0.000232260693683,0.00023226277961,0.000178665860747,0.000116133875647
0.000231900253938,0.000231915917694,0.000231917643642,0.000178399854577,0.000115960418145
0.000238131959479,0.000238151160776,0.000238153462196,0.000183197389183,0.000119079510132
0.000243528507947,0.000243550598184,0.000243553361596,0.000187351753026,0.000121780385544
0.000245873784542,0.000245896395191,0.000245899211102,0.000189156294349,0.000122953333583
0.000247505510719,0.000247528115587,0.000247530893286,0.000190411354291,0.000123768999759
0.000246995335904,0.000247016023489,0.000247018428888,0.000190016618722,0.000123511852596
0.000246614311084,0.000246632988023,0.000246635001604,0.000189721114985,0.000123319176036
0.00025271844661,0.000252740919051,0.000252743546558,0.000194420789362,0.000126374690622
0.00025805332527,0.000258078940648,0.000258082067822,0.000198527981928,0.000129044937218
0.000260309505648,0.000260335647774,0.00026033882289,0.000200263979142,0.000130173315558
0.000262471780429,0.000262498450962,0.000262501675419,0.000201927746424,0.000131254748529
0.000264746236408,0.000264773558347,0.000264776852526,0.000203677943903,0.000132392386142
0.000266994680729,0.000267022645814,0.000267026007288,0.000205408120249,0.000133517005036
0.000269164994255,0.000269193543244,0.000269196960771,0.000207078126068,0.000134602496666
0.000271334799216,0.000271363948949,0.000271367424485,0.000208747757127,0.000135687745577
0.000273529975934,0.000273559770886,0.000273563311167,0.000210436952665,0.000136785718461
0.000275717802466,0.000275748251941,0.000275751857565,0.000212120501947,0.000137880020253
0.000277897005033,0.000277928118031,0.000277931789572,0.000213797424863,0.000138970013889
0.000280061672029,0.000280093450131,0.000280097186854,0.000215463165552,0.000140052736315
0.000282195206789,0.000282227629967,0.000282231427327,0.000217104932687,0.000141119868125
0.00028432392484,0.000284357004591,0.000284360863544,0.000218743004831,0.000142184597614
0.000286455637819,0.000286489394315,0.000286493317314,0.000220383400727,0.000143250838865
0.000288579173812,0.000288613614881,0.000288617602226,0.000222017512578,0.00014431299401
0.000290691168287,0.000290726298415,0.00029073034983,0.000223642748511,0.000145369377596
0.000292797437524,0.000292833267237,0.000292837383478,0.000225263589388,0.000146422903497
0.000294901459911,0.000294938003929,0.000294942186473,0.000226882715626,0.000147475314897
0.000296417537096,0.000296454157356,0.000296458294841,0.000228048851691,0.000148233137967
0.000295913914232,0.000295948286596,0.0002959519758,0.000227658739982,0.000147978880911
0.000295530390837,0.000295562440386,0.000295565663968,0.000227360916334,0.000147784582161
0.000299249637603,0.000299284006866,0.000299287559493,0.000230224297866,0.000149646070242
0.000303371347741,0.000303408513603,0.000303412474566,0.00023339779658,0.000151709229499
0.000307369434067,0.00030740939714,0.000307413768685,0.000236476206208,0.000153710586876
0.00031089245461,0.000310934801695,0.000310939515252,0.000239188721095,0.000155474029736
0.000312981264364,0.000313024402074,0.000313029185404,0.000240796204752,0.000156518860708
0.00031446217047,0.000314505422383,0.000314510159635,0.000241935308888,0.000157259099512
0.00031396564965,0.000314006539608,0.000314010802953,0.000241550518266,0.000157008262983
0.000313585587517,0.000313624048452,0.000313627821518,0.000241255222942,0.000156815570053
0.0003189664135,0.000319009642233,0.000319014154856,0.00024539947158,0.000159510118663
0.000323996112862,0.000324043711998,0.000324048894605,0.000249273170654,0.000162028718899
